transformer,encoder,model,split_number,fit_time,score_time,test_r2,train_r2,test_mean_absolute_error,train_mean_absolute_error,test_mean_squared_error,train_mean_squared_error,test_root_mean_squared_error,train_root_mean_squared_error,test_mean_absolute_percentage_error,train_mean_absolute_percentage_error
StandardScaler,OneHotEncoder,LinearRegression,0,3.175757646560669,0.06261706352233887,0.9962758476092561,0.9963728461300739,0.14353098647672338,0.14326910035654297,0.040873380505345766,0.03960029787225165,0.20217166098478234,0.19899823585210913,66657111965039.57,65250716578716.85
StandardScaler,OneHotEncoder,LinearRegression,1,3.095896005630493,0.0745851993560791,0.9962528377692752,0.9963784783463238,0.14335531299310114,0.14331987699883084,0.040966175546549556,0.03957750408166377,0.20240102654519704,0.19894095627010486,65809036748359.51,65450527937823.25
StandardScaler,OneHotEncoder,LinearRegression,2,3.147606372833252,0.07164907455444336,0.9963893832000166,0.9963443968809532,0.14357344938455396,0.14325258638817606,0.03915973136658321,0.04002906478252732,0.19788817894604824,0.20007264876171185,64295347920492.664,65878990434215.94
StandardScaler,OneHotEncoder,LinearRegression,3,3.0935323238372803,0.05380654335021973,0.9963590242197341,0.9963519455650145,0.14321812364274694,0.14333874930579765,0.03964630808398706,0.039907236207166165,0.19911380686428318,0.19976795590676238,65397401101539.95,65397707751873.445
StandardScaler,OneHotEncoder,LinearRegression,4,3.1196980476379395,0.054511308670043945,0.9964851986187229,0.9963200772750667,0.14299134740843653,0.14340375076964493,0.038674366273151635,0.040150530431755184,0.19665799315855848,0.20037597269072752,65364550875622.79,65500165132838.195
StandardScaler,OneHotEncoder,DecisionTreeRegressor,0,8.618038177490234,0.09060096740722656,0.999312147279456,0.9999999766529829,0.05734026919375522,2.1761782723946165e-06,0.007549332849082457,2.548965014974486e-07,0.08688689687796691,0.0005048727577295577,0.0065848307531950956,2.5945096360634283e-07
StandardScaler,OneHotEncoder,DecisionTreeRegressor,1,8.333223581314087,0.0991983413696289,0.9993277637530719,0.999999970107749,0.05723055119899879,2.477160868816952e-06,0.0073492809771106464,3.2667502724471547e-07,0.08572794746820109,0.0005715549205848161,0.006571407389175837,2.974420823636068e-07
StandardScaler,OneHotEncoder,DecisionTreeRegressor,2,8.849361419677734,0.09629273414611816,0.999315368784889,0.9999999759384861,0.05724444419463461,2.2225339569137125e-06,0.007425317045289273,2.6347496331153826e-07,0.08617027936179199,0.0005132981232300954,0.006570887407304532,2.656965777800504e-07
StandardScaler,OneHotEncoder,DecisionTreeRegressor,3,9.102615594863892,0.09537935256958008,0.999319108407899,0.9999999730308791,0.05732889398594644,2.336367807686371e-06,0.007414176710141116,2.950238541079611e-07,0.08610561369702394,0.0005431609836024317,0.006579913965792928,2.843088841842369e-07
StandardScaler,OneHotEncoder,DecisionTreeRegressor,4,8.748877048492432,0.0959920883178711,0.999320387890102,0.9999999761523448,0.05711359986728748,2.1811435218424805e-06,0.007477966693046725,2.601945950824656e-07,0.08647523745585625,0.0005100927318463434,0.0065573189448679065,2.6505680145202417e-07
StandardScaler,OneHotEncoder,GradientBoostingRegressor,0,122.73948955535889,0.34836745262145996,0.9983825119132754,0.9983770142758853,0.0986593674033591,0.09857755693313779,0.017752282692801043,0.017719324964469534,0.13323769246276013,0.13311395480741128,13602070326643.48,13499307741172.102
StandardScaler,OneHotEncoder,GradientBoostingRegressor,1,118.9504120349884,0.36607837677001953,0.9983669138861151,0.998385014545819,0.09858889238797146,0.09820922825606171,0.017853855345649094,0.017649236844903438,0.13361831964835172,0.13285043035272198,12575333780182.854,12596204221960.54
StandardScaler,OneHotEncoder,GradientBoostingRegressor,2,128.85718488693237,0.4221022129058838,0.9983711461555342,0.9983882661452077,0.09841764369718774,0.09831134131995567,0.017666089346562955,0.017648578575043438,0.1329138418170318,0.13284795284475948,12878424866901.615,13049351896866.428
StandardScaler,OneHotEncoder,GradientBoostingRegressor,3,119.7186713218689,0.3453660011291504,0.9983854937245081,0.9983945335286378,0.09793230217769508,0.09781869285842952,0.017580235921538,0.01756271208041574,0.13259048201714177,0.1325243829656103,11587230338585.156,11668572357993.672
StandardScaler,OneHotEncoder,GradientBoostingRegressor,4,120.73022222518921,0.3514590263366699,0.9984014011204202,0.9983882230924381,0.09796303521537295,0.09788220751523623,0.017589841327038443,0.01758561323524408,0.13262669914854416,0.13261075836916128,12353213695446.715,12182866999260.027
StandardScaler,HelmertEncoder,LinearRegression,0,2.167374610900879,0.04522132873535156,0.9962758366544413,0.9963728403154029,0.14353208976126602,0.14327042910838986,0.04087350073681622,0.03960036135527845,0.20217195833452328,0.1989983953585517,66647303585827.17,65242080346706.984
StandardScaler,HelmertEncoder,LinearRegression,1,2.2001960277557373,0.04058694839477539,0.9962528354925775,0.9963784800030687,0.14335430375356498,0.1433186678182863,0.04096620043674446,0.03957748597606167,0.20240108803251147,0.19894091076513568,65790084192785.234,65431066465702.42
StandardScaler,HelmertEncoder,LinearRegression,2,2.235792398452759,0.03955578804016113,0.9963893987862544,0.9963443982999095,0.14357278586864974,0.14325213893963779,0.03915956232264488,0.04002904924487389,0.197887751825738,0.20007260993167927,64299228042540.16,65882891557022.6
StandardScaler,HelmertEncoder,LinearRegression,3,2.1863768100738525,0.04016613960266113,0.9963590611313826,0.9963519677652826,0.14322276260582642,0.14334506763493246,0.03964590615585621,0.039906993351321085,0.19911279756925773,0.1997673480609909,65403995456339.375,65403746185943.055
