split_number,model,split,with_customers,R2,MAE,MAPE,MSE,RMSE
0,LinearRegression,Train,True,0.45268477362659654,1.9349555939929988,3250668608683864.0,5.975441564282902,2.4444716329470673
0,LinearRegression,Train,False,0.0002126149923195042,2.4640323424471684,5547663565829724.0,10.915411828401707,3.303848033490903
0,LinearRegression,Test,True,0.45249038333074165,1.9397747374947545,3273938181308801.5,6.009036834281884,2.451333684809533
0,LinearRegression,Test,False,0.0001854677564313567,2.4698089790425706,5587391357690942.0,10.973181417800017,3.3125792696628436
0,DecisionTreeRegressor,Train,True,0.9998356550268517,0.014504221753738613,0.0016696862974231064,0.0017942745535125429,0.04235887809553675
0,DecisionTreeRegressor,Train,False,0.6021833582877865,0.9927622874786911,2214893165951548.2,4.343255917804146,2.0840479643722563
0,DecisionTreeRegressor,Test,True,0.9987930238512562,0.07562194358881477,0.00866870912372546,0.013246825106055782,0.11509485264796068
0,DecisionTreeRegressor,Test,False,-0.7293437583257547,2.707239633655213,5852632158658542.0,18.979922957576797,4.3565953401224675
0,GradientBoostingRegressor,Train,True,0.9970894256220469,0.12965306203462132,8746020396001.018,0.03177687423242276,0.17826069177590095
0,GradientBoostingRegressor,Train,False,0.0037931445603407443,2.4606930589349694,5539743123935179.0,10.876320562213726,3.297926706616405
0,GradientBoostingRegressor,Test,True,0.9971215647036941,0.12908515711283033,8743958822986.702,0.031591451901470426,0.17773984331452086
0,GradientBoostingRegressor,Test,False,0.0033114209194786692,2.46693596962142,5580857247705154.0,10.938873403607934,3.307396771421284
0,ExtraTreesRegressor,Train,True,0.9998356550268517,0.014504221753745748,0.0016696862974239191,0.0017942745535125422,0.04235887809553674
0,ExtraTreesRegressor,Train,False,0.6021833582877865,0.9927622874786965,2214893165951548.2,4.343255917804145,2.0840479643722563
0,ExtraTreesRegressor,Test,True,0.9990309163127226,0.06820653176205908,0.00782297735937229,0.010635903726728171,0.10313051792136105
0,ExtraTreesRegressor,Test,False,-0.4265459958330291,2.6898903817752107,5967465067516006.0,15.656651817197776,3.95684872306205
0,CatBoostRegressor,Train,True,0.998564271760312,0.09159072074611302,17439504649837.836,0.015674897728121,0.12519943182028023
0,CatBoostRegressor,Train,False,0.010073375434554,2.4537146619487396,5521859253558124.0,10.807754677709237,3.287514969959717
0,CatBoostRegressor,Test,True,0.9985982680826132,0.0912848465455231,17522328090702.018,0.01538431192242268,0.12403351128796879
0,CatBoostRegressor,Test,False,0.004594480934521639,2.4655094297050484,5577247235301734.0,10.92479154156158,3.3052672420791605
1,LinearRegression,Train,True,0.45294144987370677,1.9363321270969538,3252264449281495.0,5.978484756139477,2.4450940178527856
1,LinearRegression,Train,False,0.00020930048643363897,2.4665421493725797,5553326531853981.0,10.926131133481023,3.3054698808915237
1,LinearRegression,Test,True,0.4514706165815665,1.9404556571271852,3254131606267975.5,5.9968449802649015,2.4488456423925338
1,LinearRegression,Test,False,0.0002123116957145621,2.466711516223761,5556780656202598.0,10.93026547196764,3.3060952000763137
1,DecisionTreeRegressor,Train,True,0.9998361850998684,0.014491090708549747,0.0016679115382954935,0.0017902377780940452,0.04231120156759963
1,DecisionTreeRegressor,Train,False,0.6029467954929175,0.991842783242341,2212928032119353.5,4.339163568458835,2.0830659059326075
1,DecisionTreeRegressor,Test,True,0.9987804062337373,0.0758205051180775,0.008689126432159213,0.013333314451809308,0.11546997207849886
1,DecisionTreeRegressor,Test,False,-0.7121125206399934,2.680476582563978,5717307088297437.0,18.71781838023519,4.326409409687806
1,GradientBoostingRegressor,Train,True,0.997105907162983,0.12939710871328386,8887321301833.568,0.031627857575691795,0.1778422266383656
1,GradientBoostingRegressor,Train,False,0.003928171772688338,2.462952039032395,5544766641846437.0,10.885489751877927,3.2993165583008137
1,GradientBoostingRegressor,Test,True,0.9970819381444216,0.1300058335605698,8983794378663.066,0.03190196390514831,0.1786112087892255
1,GradientBoostingRegressor,Test,False,0.0033341894345095824,2.463720528688279,5550130285310994.0,10.896135273271225,3.3009294559670956
1,ExtraTreesRegressor,Train,True,0.9998361850998684,0.014491090708556855,0.0016679115382963042,0.0017902377780940452,0.04231120156759963
1,ExtraTreesRegressor,Train,False,0.6029467954929175,0.9918427832423466,2212928032119354.0,4.339163568458835,2.0830659059326075
1,ExtraTreesRegressor,Test,True,0.9990281439732868,0.06818581961520877,0.007817488438299668,0.010624900163077496,0.10307715635909585
1,ExtraTreesRegressor,Test,False,-0.41772814844733475,2.68841943577305,5925022292159327.0,15.49943574109533,3.9369322754011566
1,CatBoostRegressor,Train,True,0.9985834854957102,0.09128461317639988,16785826094767.887,0.015480263252977909,0.12441970604762699
1,CatBoostRegressor,Train,False,0.01012506579846284,2.456350580106364,5528089337874110.0,10.817767500831943,3.289037473309166
1,CatBoostRegressor,Test,True,0.9985565934219564,0.0919668302043113,16756628441909.455,0.015780167396099498,0.12561913626553678
1,CatBoostRegressor,Test,False,0.004817312864132894,2.462999487670405,5546434387278615.0,10.879920897956229,3.2984725098075667
2,LinearRegression,Train,True,0.4531067722533846,1.9389816538021372,3257984745138714.0,5.988512354782895,2.4471437135531895
2,LinearRegression,Train,False,0.00019828251519504736,2.4716145521470803,5564799356026536.0,10.947886413149986,3.3087590442868433
2,LinearRegression,Test,True,0.4507679052920026,1.9319877207806313,3216009854568267.0,5.956816377403997,2.44065900473704
2,LinearRegression,Test,False,0.0002161652140139081,2.4605079722991694,5494772569122803.0,10.84337346324094,3.292927795023896
