P,D,Q,Fold Number,RMSE,RSS,MSE,MAE,MAPE,R2,durbin_watson,aic,bic
8,0,9,0,0.2839593022352321,90.95389464763764,0.08063288532592,0.17474434320446447,0.006568805880955494,0.995382888274639,1.9082674820919578,-2802.133340544556,-2706.597513335454
8,0,9,1,0.35109343434109536,139.04472439101545,0.1232665996374252,0.17238064879557,0.006825493919207379,0.9943425222388276,1.586279600497028,-2323.361733908008,-2227.825906698906
8,0,9,2,0.31307372409949713,110.56109678188362,0.09801515672152804,0.16244957923300257,0.006815066798226867,0.9957109556782168,1.6700855667482595,-2581.930195282852,-2486.39436807375
8,0,9,3,0.243870843586569,67.08553086063277,0.059472988351624734,0.15300657496332598,0.00664989273020232,0.9974221801824659,1.9725403536527268,-3145.478876782567,-3049.943049573465
8,0,9,4,0.28586443117868593,92.17843755879221,0.08171847301311387,0.17068926146040517,0.00800005013110609,0.9969874093013129,1.872354181832105,-2787.0480197378533,-2691.5121925287513
8,0,9,5,0.34113414055172037,131.26818208675593,0.11637250184996098,0.1799729222158663,0.008834105584768926,0.9960248575616997,1.6497088246071832,-2388.2817632753568,-2292.7459360662547
8,0,9,6,0.3573761177234224,144.06555377750587,0.12771768951906567,0.18191310909522368,0.009312671171596761,0.9955277188911317,1.620886444924744,-2283.3484256962947,-2187.8125984871926
8,1,9,0,0.9143031783237223,942.9519405351466,0.8359503018928611,0.19800404325413992,0.007385648988981425,0.9521327318861574,1.052075693108878,-166.12193790170443,-75.61431212466034
8,1,9,1,1.0318649049250428,1201.0325653140112,1.0647451820159677,0.19597766417352855,0.007532493615407468,0.9511321622703222,1.0739868249117066,106.7656494370443,197.2732752140884
8,1,9,2,0.956501563393914,1032.0018315942018,0.9148952407749997,0.18445065792481707,0.007519311777654006,0.959965107757557,1.0913329360621415,-64.33076225332874,26.17686352371534
8,1,9,3,0.7815652995775005,689.0323901441377,0.6108443175036675,0.17381803662506734,0.007482393027874443,0.9735233316715273,1.0904337610616597,-520.0060352083469,-429.49840943130283
8,1,9,4,0.8343627143862428,785.2697649702003,0.6961611391579806,0.19101918913363963,0.008765034949935878,0.9743356857356085,1.1034222954968798,-372.53241149529384,-282.02478571824975
8,1,9,5,0.9008991779054556,915.5066028308187,0.8116193287507256,0.19875842985274184,0.009485934970945728,0.9722760756521203,1.0948414578416843,-199.4405092318921,-108.93288345484801
8,1,9,6,0.8895700591564735,892.6257560865512,0.7913348901476505,0.19990925512079977,0.009951323832203275,0.9722898833096458,1.11066248313119,-227.99038037136972,-137.48275459432563
8,2,9,0,1.0052442641863057,1139.8620826064391,1.0105160306794676,0.21249884486050757,0.007853713800002975,0.9421369408392541,1.952791185128176,47.80014543783913,138.30777121488322
8,2,9,1,1.1484139842788528,1487.6680782359945,1.3188546792872302,0.21020001310048178,0.007948295202519622,0.9394694828912895,2.0090022314210514,348.1894454226352,438.69707119967927
8,2,9,2,1.0679576907333128,1286.5219337335732,1.1405336291964316,0.19903346738151356,0.007995967477312169,0.9500913996392827,2.0296790484996388,184.3277684998635,274.8353942769076
8,2,9,3,0.8648699559720434,843.744045958199,0.7480000407430846,0.18532303984838835,0.007942882855883442,0.9675784018596199,1.9964750911575062,-291.51733409519886,-201.00970831815476
8,2,9,4,0.9235932364048198,962.2115980233189,0.8530244663327287,0.2019489702866897,0.009183142155985324,0.9685528439498114,2.002357782379785,-143.3148315133435,-52.80720573629942
8,2,9,5,0.9982699757884715,1124.1004414644872,0.9965429445607186,0.21124542219757764,0.009926047941249795,0.9659593109408312,1.9980632214215812,32.09368539423391,122.60131117127798
8,2,9,6,0.9877916965399075,1100.6261875295968,0.9757324357531895,0.2134962037917428,0.01045611518873787,0.9658328477741711,2.013615786693244,8.288566298554496,98.79619207559858
8,3,9,0,1.2573464056346966,1783.27774168409,1.580919983762489,0.23339997490217343,0.008562779870083751,0.9094750961176286,2.590226750867052,552.6318348518264,643.1394606288704
