P,Q,Fold Number,RMSE,RSS,MSE,MAE,MAPE,R2,durbin_watson,aic,bic
1,0,0,0.3248093965947415,119.0052905631188,0.10550114411623995,0.2167609080467256,0.00814408405364272,0.9939589093510771,2.281556509524049,-2532.9097670430265,-2522.8533641789104
1,0,1,0.3091034613423487,107.77470338998991,0.09554494981382088,0.20573886704943173,0.008189990774856342,0.9956148427039119,2.281590749372689,-2644.7227468857122,-2634.666344021596
1,0,2,0.2909336985848534,95.4766463447119,0.08464241697226237,0.1945191128089742,0.008194886570364653,0.9962961332712214,2.3130428013540216,-2781.3926840566696,-2771.3362811925535
1,0,3,0.2815923207715905,89.44389721257423,0.07929423511753031,0.1862051993707931,0.008072050997155158,0.9965630405270093,2.3024932097908737,-2855.0173509293413,-2844.9609480652252
1,0,4,0.3389736542765549,129.61073999518234,0.11490313829360131,0.21772182278210414,0.010253153761691853,0.9957640407008375,2.2980728500803425,-2436.615001238934,-2426.558598374818
1,0,5,0.3492720977189995,137.6058460203942,0.12199099824503028,0.22578060260404156,0.011242697039812963,0.9958329365915012,2.3058454886832487,-2369.095448644453,-2359.039045780337
1,0,6,0.34815186389574604,136.72456453684458,0.12120972033408192,0.22627574387755633,0.011739112209651648,0.9957556079780131,2.3042962311094013,-2376.342832783262,-2366.286429919146
1,0,0,0.3248093965947415,119.0052905631188,0.10550114411623995,0.2167609080467256,0.00814408405364272,0.9939589093510771,2.281556509524049,-2532.9097670430265,-2522.8533641789104
1,0,1,0.3091034613423487,107.77470338998991,0.09554494981382088,0.20573886704943173,0.008189990774856342,0.9956148427039119,2.281590749372689,-2644.7227468857122,-2634.666344021596
1,0,2,0.2909336985848534,95.4766463447119,0.08464241697226237,0.1945191128089742,0.008194886570364653,0.9962961332712214,2.3130428013540216,-2781.3926840566696,-2771.3362811925535
1,0,3,0.2815923207715905,89.44389721257423,0.07929423511753031,0.1862051993707931,0.008072050997155158,0.9965630405270093,2.3024932097908737,-2855.0173509293413,-2844.9609480652252
