iter	Passed	Remaining
399	28553	42830
400	28634	42773
401	28723	42727
402	28818	42690
403	28897	42631
404	28972	42565
405	29035	42480
406	29100	42399
407	29166	42319
408	29254	42272
409	29338	42218
410	29445	42198
411	29527	42140
412	29622	42102
413	29745	42103
414	29825	42043
415	29905	41982
416	30002	41945
417	30090	41896
418	30171	41837
419	30244	41765
420	30302	41674
421	30365	41590
422	30431	41510
423	30503	41438
424	30575	41366
425	30650	41298
426	30723	41228
427	30805	41170
428	30879	41100
429	30939	41012
430	31003	40930
431	31091	40879
432	31171	40818
433	31240	40742
434	31309	40666
435	31381	40594
436	31449	40517
437	31522	40446
438	31582	40359
439	31658	40292
440	31747	40241
441	31819	40170
442	31877	40081
443	31958	40020
444	32019	39935
445	32109	39884
446	32181	39812
447	32267	39757
448	32357	39707
449	32439	39648
450	32519	39585
451	32608	39534
452	32680	39461
453	32731	39364
454	32792	39279
455	32881	39227
456	32972	39176
457	33056	39119
458	33126	39045
459	33194	38967
460	33259	38886
461	33322	38803
462	33399	38738
463	33487	38683
464	33539	38588
465	33600	38503
466	33676	38436
467	33724	38336
468	33785	38251
469	33865	38188
470	33935	38114
471	34034	38072
472	34127	38023
473	34205	37958
474	34281	37890
475	34374	37841
476	34427	37747
477	34495	37670
478	34583	37615
479	34659	37547
480	34745	37490
481	34826	37427
482	34893	37349
483	34964	37276
484	35016	37182
485	35099	37121
486	35181	37060
487	35271	37006
488	35354	36944
489	35441	36888
490	35501	36803
491	35580	36737
492	35644	36657
493	35709	36577
494	35773	36496
495	35883	36462
496	35975	36409
497	36039	36329
498	36123	36268
499	36183	36183
500	36243	36098
501	36317	36028
502	36399	35965
503	36469	35890
504	36538	35814
505	36638	35769
506	36697	35684
507	36744	35587
508	36815	35513
509	36890	35444
510	36969	35378
511	37026	35291
512	37092	35212
513	37169	35145
514	37245	35076
515	37301	34988
516	37367	34909
517	37442	34840
518	37495	34750
519	37587	34696
520	37656	34620
521	37726	34546
522	37811	34485
523	37879	34409
524	37952	34338
525	38026	34267
526	38079	34177
527	38126	34082
528	38201	34013
529	38284	33950
530	38348	33870
531	38406	33785
532	38474	33709
533	38560	33650
534	38625	33571
535	38713	33513
536	38814	33465
537	38881	33388
538	38958	33320
539	39014	33234
540	39100	33174
541	39152	33084
542	39226	33014
543	39319	32958
544	39409	32901
545	39483	32830
546	39560	32761
547	39634	32691
548	39700	32613
549	39762	32532
550	39821	32449
551	39901	32383
552	39964	32304
553	40044	32238
554	40132	32178
555	40189	32093
556	40258	32018
557	40339	31953
558	40388	31862
559	40465	31794
560	40536	31721
561	40592	31636
562	40681	31576
563	40763	31512
564	40838	31442
565	40923	31379
566	41007	31315
