iter	RMSE
0	2.887611802
1	2.522430131
2	2.204062706
3	1.92605007
4	1.683970658
5	1.472813861
6	1.288853758
7	1.128978443
8	0.9897277601
9	0.868751269
10	0.7635994175
11	0.6729330587
12	0.594329002
13	0.5260345641
14	0.4676619297
15	0.4173586322
16	0.3739419206
17	0.3369015638
18	0.3044868878
19	0.2763182457
20	0.252333654
21	0.232458138
22	0.2158827188
23	0.202201534
24	0.1912107778
25	0.1819833819
26	0.1744202454
27	0.1681334647
28	0.1631789179
29	0.1591488095
30	0.1560094167
31	0.1531684085
32	0.1509696814
33	0.149157381
34	0.1476026231
35	0.1459863098
36	0.1446485663
37	0.1433837831
38	0.1422430988
39	0.1413708751
40	0.1406291729
41	0.1398925832
42	0.1391539683
43	0.1386628431
44	0.1381338505
45	0.1375221856
46	0.1368021612
47	0.1363246922
48	0.1359139582
49	0.1354377637
50	0.1350858783
51	0.1347191328
52	0.1342631817
53	0.1339374201
54	0.1334318028
55	0.1330447995
56	0.1327578203
57	0.1322746117
58	0.1319754546
59	0.1317480541
60	0.1314245955
61	0.1312213206
62	0.1309013875
63	0.1306461219
64	0.1304451494
65	0.1302975799
66	0.1300919872
67	0.129654805
68	0.1293453037
69	0.1290811563
70	0.1287853344
71	0.1286404621
72	0.1284280733
73	0.1282211087
74	0.1278101087
75	0.1275572274
76	0.1274591773
77	0.1272904301
78	0.1271426762
79	0.1269312841
80	0.1267721161
81	0.126483695
82	0.1261189439
83	0.1260060495
84	0.125871158
85	0.125783665
86	0.1255768638
87	0.1253364233
88	0.1251692317
89	0.1248432984
90	0.1247114174
91	0.1245068132
92	0.1242124285
93	0.1239604662
94	0.123842958
95	0.1236677569
96	0.1236075108
97	0.1234019496
98	0.1230081933
99	0.1227805532
100	0.1225250607
101	0.1223279212
102	0.1220792054
103	0.1217029392
104	0.1214100641
105	0.1211633708
106	0.1209297222
107	0.1207197278
108	0.1206442052
109	0.1204822059
110	0.1202865039
111	0.1200952594
112	0.1199229513
113	0.1197432469
114	0.1196083146
115	0.1194807912
116	0.1194157241
117	0.1192820561
118	0.119115984
119	0.1190673175
120	0.1189383018
121	0.1186984159
122	0.1185772104
123	0.1184308842
124	0.1182653019
125	0.1181191395
126	0.1179144989
127	0.1178042286
128	0.1175652539
129	0.1174919866
130	0.1174384369
131	0.1170948101
132	0.1169620926
133	0.1166708756
134	0.1165498493
135	0.116480923
136	0.1163911463
137	0.1163534529
138	0.1161631116
139	0.1159573917
140	0.1157569737
141	0.1155490723
142	0.1154264789
143	0.115071821
144	0.1149621699
145	0.1148308661
146	0.1146155172
147	0.1144228815
148	0.1143161287
149	0.1140180784
150	0.1139667701
151	0.113846817
152	0.1136903564
153	0.1136171184
154	0.1134924831
155	0.1133922913
156	0.1132293975
157	0.113183112
158	0.1130699807
159	0.112925029
160	0.1127838291
161	0.1126611012
162	0.1125643493
163	0.1124857089
164	0.1123887078
165	0.112125203
166	0.1119177037
167	0.111870091
168	0.111642573
169	0.1114701762
170	0.1113331015
171	0.1112067364
172	0.1111337261
173	0.1110185566
174	0.1109546011
175	0.1108449254
176	0.1107039055
177	0.1104356483
178	0.110246173
179	0.1100847737
180	0.109941248
181	0.1097555491
182	0.1096483925
183	0.1095466627
184	0.1095153056
185	0.1094533006
186	0.1093482324
187	0.1092567519
188	0.10917517
189	0.1091235272
190	0.1090118894
191	0.1089651267
192	0.1089107371
193	0.108845029
194	0.1087992093
195	0.1086597212
196	0.1084553949
197	0.1083728734
198	0.1082666802
199	0.1080835699
200	0.1079423299
201	0.1078372158
202	0.1077667393
203	0.1076086675
204	0.107438001
205	0.1073458899
206	0.1071321489
207	0.107013546
208	0.106989079
209	0.1068387008
210	0.1067450009
211	0.1065905153
212	0.1064968158
213	0.1064195116
214	0.106226478
215	0.1061043699
216	0.1059999471
217	0.1058793714
218	0.1058129894
219	0.1057248227
220	0.105549542
221	0.1054884377
222	0.1054239884
223	0.1053883875
224	0.1053389551
225	0.1052221938
226	0.1050209534
227	0.1049823439
228	0.1049526469
229	0.1048947631
230	0.1047356467
231	0.1045423462
232	0.1044537894
233	0.1042880484
234	0.1042624283
235	0.1041705892
236	0.1040231449
237	0.1039181648
238	0.1037722994
239	0.1036098727
240	0.1035217404
241	0.1034726811
242	0.1033506775
243	0.1031402309
244	0.103000228
245	0.102837408
246	0.1027799828
247	0.1026924291
248	0.1026149176
249	0.1025187095
250	0.1024529107
251	0.1023393981
252	0.1022584833
253	0.1020799602
254	0.1020287352
255	0.1019230564
256	0.1017893202
257	0.1017553993
258	0.1016810205
259	0.1016446989
260	0.1015781571
261	0.1015155452
262	0.1013812895
263	0.1012461986
264	0.1012164889
265	0.1011277875
266	0.1010779802
267	0.1010230907
268	0.1010044994
269	0.1009078869
270	0.1007895146
271	0.1006883597
272	0.1006217587
273	0.1005163423
274	0.1004691984
275	0.1004432827
276	0.1002816442
277	0.100185438
278	0.1000319186
279	0.09996376391
