P,Q,RMSE,RSS,MSE,MAE,MAPE,R2,durbin_watson,aic,bic
1,1,0.35296828707073635,141.34377037195017,0.12530476096804088,0.21197257691179133,0.009461634997743487,0.9947678387568637,2.0063007076438866,-2349.9239940296766,-2334.839389733503
1,2,0.3578077588405008,145.04701071774608,0.12858777545899475,0.21492314876857016,0.009588003918586363,0.994621654529994,1.9519057561857862,-2315.6165278927933,-2295.5037221645607
1,3,0.35352767541678576,141.80310839920472,0.12571197553120997,0.21220405174296972,0.009469460200591839,0.9947435938679956,2.0015950757715193,-2342.4692143496313,-2317.328207189341
1,4,0.35352333732640373,141.78965957164877,0.12570005281174534,0.21274883999742517,0.009495138379095994,0.9947439313420805,2.00355006416017,-2340.4163910054735,-2310.2471824131253
1,5,0.35254818503667884,140.98872017063601,0.12499000015127305,0.21264972512973981,0.00948726313974128,0.994770291065879,2.0134415038848994,-2344.4977982221703,-2309.3003881977643
1,6,0.3543811589416835,142.50084867870558,0.1263305396087815,0.21472299056405117,0.009587275245968214,0.994721081777577,1.9982195552261854,-2331.1337891097533,-2290.908177653289
2,1,0.353013476871705,141.43482469215292,0.1253854828831143,0.2121977753014998,0.009471182504486798,0.9947604371694948,2.0106315443299114,-2348.0867471979514,-2327.973941469719
2,2,0.352350953651409,140.83451811566457,0.12485329620183028,0.21168600003433943,0.009448725580411222,0.9947875208400963,2.0186577100781746,-2349.733036764333,-2324.592029604043
2,3,0.3616032598910358,148.47365975946173,0.1316255848931399,0.21906282289713735,0.009801319422536028,0.9945034872114531,1.9187407479545926,-2290.4130160594077,-2260.2438074670595
2,4,0.35619254431978703,144.12073667350577,0.12776661052615756,0.2163697246085114,0.00969269718773658,0.9946786962811791,1.9872875752606498,-2322.7820668152162,-2287.5846567908097
2,5,0.35640390871428945,144.19685028743908,0.12783408713425448,0.21627833486858775,0.009669335488752434,0.9946658437176923,1.9838569299489583,-2318.787403521139,-2278.5617920646746
2,6,0.3546888630728683,142.74086475698135,0.126543319820019,0.21594863263689185,0.009666324760859931,0.9947134689842333,2.0064815193980468,-2327.082468063735,-2281.828655175213
2,7,0.3543262968262791,142.453741437731,0.12628877787032894,0.21606994002470134,0.009671329700632753,0.994723648616613,2.0158389685784868,-2327.442512836808,-2277.1604985162276
2,8,0.35564552074796535,143.53397861026852,0.12724643493818125,0.21633415726561006,0.009673099266221254,0.9946877551764303,1.9971184125124233,-2317.188486893928,-2261.8782711412896
